name_ko,name_en,description,mythology,difficulty,image_url,abbreviation
날치자리,Volans,"용골자리 근처에 위치한 남반구의 작은 별자리로, 아르고호 주변을 날아오르는 물고기 모습을 합니다.","16세기 네덜란드 항해사들이 열대 바다를 항해하며 자주 목격했던, 배 위로 튀어오르는 날치를 형상화했습니다.",관측불가,/img/constellation/26.png,Vol
목동자리,Boötes,"봄철 하늘에서 마치 넥타이나 아이스크림 콘처럼 보이며, 1등성 아크투루스가 붉게 빛나는 큰 별자리입니다.","큰곰자리의 칼리스토를 지키거나 뒤따르는 아들 아르카스로 해석됩니다. 또 다른 전승에서는 쟁기와 수레를 발명해 인류를 도운 인물이나 하늘을 떠받치는 아틀라스로 묘사되기도 합니다.",1,/img/constellation/27.png,Boo
도마뱀자리,Lacerta,"백조자리와 안드로메다자리 사이의 은하수 속에 위치한 지그재그 모양의 어둡고 작은 별자리입니다.","17세기 요하네스 헤벨리우스가 빈 공간에 별자리를 추가하기 위해 작은 파충류인 도마뱀을 상징하여 만들었습니다.",3,/img/constellation/28.png,Lac
화로자리,Fornax,"남반구의 어두운 별자리로, 내부에는 화로자리 은하단을 비롯한 많은 은하들이 숨겨져 있습니다.","18세기 천문학자 라카유가 실험실에서 화학 실험을 할 때 사용하던 가열용 화로(Furnace)를 기념하여 만들었습니다.",4,/img/constellation/29.png,For
물뱀자리,Hydrus,"마젤란은하 근처에 있는 남반구 별자리로, 북반구의 긴 바다뱀자리(Hydra)와는 다른 별자리입니다.","16세기 네덜란드 항해사들이 관측한 별자리로, 바다를 항해하며 본 바다뱀을 형상화하였으며 고대 신화는 없습니다.",관측불가,/img/constellation/30.png,Hyi
팔분의자리,Octans,"현재 남쪽 하늘의 천구 남극을 포함하고 있는 별자리로, 북극성처럼 밝은 남극성은 존재하지 않습니다.","라카유가 천체의 고도를 측정할 때 사용하던 항해 및 천문 관측 도구인 '팔분의(Octant)'를 본떠 만들었습니다.",관측불가,/img/constellation/31.png,Oct
공작자리,Pavo,"남반구 하늘에서 꽤 밝은 별들을 가지며 화려한 꼬리를 펼친 새의 모습을 연상케 하는 별자리입니다.","네덜란드 항해사들이 명명했으며, 그리스 신화에서 헤라 여신이 자신의 거인 파수꾼 아르고스의 눈 100개를 장식해 준 공작새로도 연결됩니다.",관측불가,/img/constellation/32.png,Pav
이리자리,Lupus,"센타우루스자리와 전갈자리 사이에 위치하며, 비교적 밝은 별들이 많이 모여 있는 남반구 별자리입니다.","켄타우로스(센타우루스자리)가 제단(제단자리)에 제물로 바치기 위해 창에 꿰어 들고 있는 야생 짐승(이리)으로 묘사됩니다.",4,/img/constellation/33.png,Lup
오리온자리,Orion,"겨울철 밤하늘을 압도하는 거대한 별자리로, 세 개의 허리띠 별과 베텔게우스, 리겔이 매우 유명합니다.","세상에서 가장 뛰어나고 자만했던 사냥꾼 오리온입니다. 모든 동물을 죽일 수 있다고 오만하게 굴자 대지의 여신 가이아가 보낸 거대한 전갈의 독침에 찔려 죽은 후 밤하늘에 올랐습니다.",1,/img/constellation/34.png,Ori
고래자리,Cetus,"가을철 남쪽 하늘을 차지하는 거대한 별자리로, 유명한 장주기 변광성인 '미라'를 포함하고 있습니다.","에티오피아 왕비 카시오페이아의 오만함을 벌하기 위해 포세이돈이 보낸 바다 괴물 케투스(고래)입니다. 공주 안드로메다를 잡아먹으려다 영웅 페르세우스에게 처치되었습니다.",3,/img/constellation/35.png,Cet
육분의자리,Sextans,"사자자리와 바다뱀자리 사이에 위치한 매우 어둡고 작은 별자리로 뚜렷한 특징이 적습니다.","요하네스 헤벨리우스가 자신의 천문대가 불타버렸을 때 소실된 천체 관측 기구 '육분의(Sextant)'를 기리기 위해 만들었습니다.",4,/img/constellation/36.png,Sex
독수리자리,Aquila,"여름철 은하수를 가로지르며, 견우성으로 잘 알려진 1등성 알타이르를 포함하는 별자리입니다.","제우스의 번개를 운반하던 신성한 독수리입니다. 미소년 가니메데스를 올림포스로 납치할 때 제우스가 직접 변신했거나 파견했던 독수리로도 알려져 있습니다.",1,/img/constellation/37.png,Aql
현미경자리,Microscopium,"궁수자리와 남쪽물고기자리 남쪽에 위치한 작고 매우 희미한 남반구의 별자리입니다.","18세기 라카유가 당시 과학의 발전을 상징하는 대표적 발명품인 현미경을 기념하여 밤하늘에 추가한 별자리입니다.",4,/img/constellation/38.png,Mic
인디언자리,Indus,"남반구 하늘에 위치한 어두운 별자리로, 양손에 창이나 화살을 들고 있는 원주민을 묘사합니다.","16세기 네덜란드 탐험가들이 신대륙과 아시아를 탐험하며 만난 아메리카 또는 동인도의 원주민(인디언)을 형상화했습니다.",4,/img/constellation/39.png,Ind
제단자리,Ara,"전갈자리 꼬리 아래에 위치하며, 은하수의 중심부를 향하고 있어 다양한 성단과 성운이 있는 별자리입니다.","제우스와 올림포스 신들이 티탄족과의 거대한 전쟁을 앞두고 승리를 맹세하며 제물을 바쳤던 성스러운 제단입니다. 전쟁에서 승리한 뒤 이를 기념해 하늘에 올렸다고 전해집니다.",4,/img/constellation/40.png,Ara
남쪽왕관자리,Corona Australis,"궁수자리 발치에 위치하며, 작지만 말굽이나 왕관 모양으로 둥글게 배열된 별들이 눈에 띕니다.","북쪽왕관자리에 대응하는 남쪽의 왕관으로, 디오니소스가 저승에서 어머니 세멜레를 구할 때 쓴 화관이나 켄타우로스가 떨어뜨린 화환 등으로 설명되며 북쪽왕관자리에 비해 전승이 불분명합니다.",4,/img/constellation/41.png,CrA
천칭자리,Libra,"황도 12궁 중 유일하게 생물이나 신화 속 인물이 아닌 물건(저울)을 본뜬 별자리입니다.","정의의 여신 아스트라이아(처녀자리)가 인간의 선악을 판단할 때 사용하던 저울로, 공정함과 균형, 심판을 상징합니다.",3,/img/constellation/42.png,Lib
궁수자리,Sagittarius,"황도 12궁 중 하나로 은하수 중심부의 가장 밝고 짙은 곳에 위치하며, 찻주전자 모양으로 유명합니다.","상반신은 사람, 하반신은 말인 켄타우로스 족 중 영웅들의 스승이었던 현명한 '케이론'이 활을 당기는 모습입니다. 다른 전승에서는 활쏘기와 음악에 뛰어나고 뮤즈들을 찬양하는 법을 만든 크로토스로 해석되기도 합니다.",1,/img/constellation/43.png,Sgr
양자리,Aries,"황도 12궁의 첫 번째 별자리로, 가을철 밤하늘에 꺾인 선 모양으로 세 개의 비교적 밝은 별이 보입니다.","보이오티아의 왕자 프릭소스와 헬레 남매를 계모의 음모에서 구하기 위해 전령의 신 헤르메스가 보낸 황금빛 털을 가진 숫양입니다. 남겨진 황금 양털은 훗날 이아손과 아르고호 원정대의 목표가 되었습니다.",3,/img/constellation/44.png,Ari
북쪽왕관자리,Corona Borealis,"목동자리 옆에 위치하며, 반원형으로 둥글게 늘어선 별들이 보석이 박힌 아름다운 왕관처럼 보입니다.","미노타우로스 미궁에서 테세우스를 도왔으나 버림받은 공주 아리아드네가 디오니소스와 결혼하며 받은 보석 왕관입니다. 그녀가 죽자 디오니소스가 하늘에 올려 별자리가 되었습니다.",2,/img/constellation/45.png,CrB
조각가자리,Sculptor,"남반구 하늘의 희미한 별자리로 은하의 남극이 이 곳에 위치해 여러 외부 은하를 관측할 수 있습니다.","18세기 라카유가 조각가의 작업실을 묘사하여 '조각가의 도구(Apparatus Sculptoris)'라는 이름으로 처음 만들었습니다.",4,/img/constellation/46.png,Scl
봉황자리,Phoenix,"조각가자리와 에리다누스자리 사이에 있는 남반구 별자리로, 비교적 눈에 띄는 불사조 모양을 합니다.","16세기 말 만들어진 별자리로, 스스로 불타오른 뒤 재 속에서 다시 부활하는 전설 속의 영조 불사조(피닉스)를 상징합니다.",4,/img/constellation/47.png,Phe
시계자리,Horologium,"에리다누스자리 끝자락에 위치한 길고 어두운 별자리로 눈에 띄는 대상이 거의 없습니다.","천문학자 라카유가 진자시계를 발명하여 정밀한 관측을 가능하게 한 크리스티안 하위헌스를 기리기 위해 고안했습니다.",4,/img/constellation/48.png,Hor
조각칼자리,Caelum,"밤하늘에서 가장 작고 어두운 별자리 중 하나로, 콜롬바(비둘기자리) 아래에 숨어 있습니다.","라카유가 고안한 도구 별자리 중 하나로, 조각가들이 금속이나 돌에 글을 새길 때 사용하는 조각칼을 형상화했습니다.",4,/img/constellation/49.png,Cae
큰부리새자리,Tucana,"소마젤란은하(SMC)와 구상성단 47 Tucanae를 품고 있는 천문학적으로 매우 훌륭한 남반구 별자리입니다.","16세기 네덜란드 탐험가들이 남아메리카 열대 우림에서 발견한 거대하고 화려한 부리를 가진 새인 투칸(Tucan)을 묘사했습니다.",관측불가,/img/constellation/50.png,Tuc
카멜레온자리,Chamaeleon,"하늘의 남극에 가까이 위치한 아주 작은 별자리로, 주변 별자리를 잡아먹으려는 듯 혀를 내민 모습입니다.","네덜란드 항해사들이 마다가스카르와 아프리카 해안에서 본, 몸통 색깔을 바꾸는 신기한 파충류 카멜레온을 별자리에 담았습니다.",관측불가,/img/constellation/51.png,Cha
남십자자리,Crux,"밤하늘의 88개 별자리 중 가장 작지만, 1등성 2개를 포함한 완벽한 십자가 모양으로 길잡이 역할을 합니다.","특별한 신화는 없으나 대항해시대 남반구 항해사들에게 남극을 가리키는 나침반이자 종교적인 십자가로 숭배되었습니다.",관측불가,/img/constellation/52.png,Cru
외뿔소자리,Monoceros,"오리온자리와 작은개자리 사이에 숨어 있는 희미한 별자리지만, 장미 성운 등 아름다운 천체가 많습니다.","17세기 네덜란드 천문학자 플란키우스가 추가한 별자리로, 이마에 뿔이 하나 달린 전설 속의 신비로운 동물 유니콘을 뜻합니다.",3,/img/constellation/53.png,Mon
황소자리,Taurus,"황도 12궁 중 하나로 붉은 눈 알데바란과 플레이아데스, 히아데스 산개성단을 품고 있는 겨울철 대표 별자리입니다.","제우스가 페니키아의 아름다운 공주 에우로파에게 접근하기 위해 변신했던 눈부시게 하얀 황소입니다. 에우로파를 등에 태운 채 바다를 건너 크레타 섬으로 데려갔습니다.",1,/img/constellation/54.png,Tau
컵자리,Crater,"봄철 바다뱀자리 등에 얹혀 있는 듯한 반원형의 별자리로, 작지만 컵 모양을 꽤 잘 묘사하고 있습니다.","까마귀가 아폴론의 심부름에 가져가야 했던 황금 술잔입니다. 까마귀가 거짓말한 벌을 받아 물뱀, 까마귀와 함께 영원히 물을 마실 수 없도록 하늘에 던져졌습니다.",3,/img/constellation/55.png,Crt
까마귀자리,Corvus,"바다뱀자리의 등에 앉아 있는 뚜렷한 사각형 모양의 별자리로, 봄철 하늘에서 방향을 찾는 길잡이가 됩니다.","물을 떠 오라는 태양신 아폴론의 명령을 어기고 게으름을 피우다 물뱀 탓으로 거짓말을 한 까마귀입니다. 분노한 아폴론이 벌을 내려 컵, 물뱀과 함께 하늘에 던져져 영원히 갈증에 시달리게 되었습니다.",2,/img/constellation/56.png,Crv
컴퍼스자리,Circinus,"센타우루스자리 알파성 바로 옆에 위치한 가늘고 긴 모양의 매우 작은 남반구 별자리입니다.","18세기 천문학자 라카유가 항해와 기하학에 쓰이는 제도용 컴퍼스를 본떠 직각자자리 등과 함께 밤하늘에 새겼습니다.",관측불가,/img/constellation/57.png,Cir
삼각형자리,Triangulum,"안드로메다자리 아래에 위치한 세 개의 별로 이루어진 길쭉한 삼각형 모양의 작고 뚜렷한 별자리입니다.","세 번의 토양 때문에 나일강 삼각주나 이탈리아의 시칠리아 섬을 나타낸다고 여겨졌습니다. 전령의 신 헤르메스가 문서와 기하학을 기념해 하늘에 놓았다는 전승도 있습니다.",3,/img/constellation/58.png,Tri
카시오페이아자리,Cassiopeia,"북반구 하늘에서 뚜렷한 'W' 또는 'M'자 모양을 그리며, 북극성을 찾는 가장 널리 알려진 길잡이 별자리입니다.","자신과 딸 안드로메다가 바다의 님프들보다 아름답다고 오만하게 허영을 부리다 포세이돈의 분노를 산 에티오피아의 왕비입니다. 그 벌로 하늘에서도 거꾸로 매달린 채 회전하게 되었다고 전해집니다.",1,/img/constellation/59.png,Cas
백조자리,Cygnus,"여름철 은하수를 따라 십자가 모양으로 날개를 펴고 나는 웅장한 새의 모습으로, '북십자성'으로도 불립니다.","제우스가 스파르타의 왕비 레다에게 접근하기 위해 변신했던 아름답고 거대한 백조와 연결됩니다. 다른 전승에서는 죽은 친구 파에톤을 애도하다가 백조가 된 키크노스라고도 합니다.",1,/img/constellation/60.png,Cyg
기린자리,Camelopardalis,"카시오페이아자리와 큰곰자리 사이의 넓고 어두운 영역을 차지하는 북반구의 희미한 별자리입니다.","17세기 플란키우스가 구약성서에서 리브가를 이삭에게 데려다준 낙타를 상징하여 고안했으며, 후에 기린으로 정착되었습니다.",4,/img/constellation/61.png,Cam
머리털자리,Coma Berenices,"사자자리 꼬리 뒤편에 무수히 많은 어두운 별들이 은가루를 뿌려놓은 듯 모여 있는 산개성단형 별자리입니다.","이집트 왕비 베레니케 2세가 남편 프톨레마이오스 3세의 무사 귀환을 기원하며 아프로디테 신전에 바친 아름다운 머리카락입니다. 머리카락이 사라지자 신들이 이를 하늘에 올렸다고 설명되었습니다.",3,/img/constellation/62.png,Com
남쪽물고기자리,Piscis Austrinus,"가을철 어두운 남쪽 하늘에서 유일하게 홀로 빛나는 1등성 포말하우트를 품고 있는 별자리입니다.","물고기자리의 두 물고기와 관련된 거대한 어미 물고기로, 물병자리가 쏟아붓는 물을 받아 마시고 있습니다. 시리아의 다산 여신 데르케토(아타르가티스)의 화신이거나 그녀를 구해 준 물고기라는 전승이 있습니다.",3,/img/constellation/63.png,PsA
헤르쿨레스자리,Hercules,"왕관자리와 거문고자리 사이에 위치한 거꾸로 무릎을 꿇고 있는 형상의 넓지만 비교적 희미한 별자리입니다.","사자 가죽을 걸치고 몽둥이를 든 채 제우스의 아들로서 짊어진 불가능한 12과업(네메아의 사자 퇴치 등)을 모두 달성해낸 위대한 영웅 헤라클레스입니다. 죽은 뒤 신의 자격을 얻어 하늘의 별자리가 되었습니다.",2,/img/constellation/64.png,Her
직각자자리,Norma,"전갈자리와 이리자리 사이에 위치한 매우 작고 어두운 별자리로 뚜렷한 모양을 잡기 어렵습니다.","18세기 프랑스 천문학자 라카유가 목수나 건축가들이 수직을 측정할 때 사용하는 T자형 직각자를 기념하여 만들었습니다.",4,/img/constellation/65.png,Nor
조랑말자리,Equuleus,"돌고래자리 옆에 위치하며, 밤하늘 88개 별자리 중 남십자자리에 이어 두 번째로 작은 별자리입니다.","포세이돈이 아테나와 경쟁하며 만든 최초의 말과 관련된 별자리로 여겨집니다. 전승에 따라 페가수스의 동생인 명마 켈레리스나 헤르메스가 카스토르에게 선물한 망아지로 해석됩니다.",3,/img/constellation/66.png,Equ
돌고래자리,Delphinus,"독수리자리 옆에 네 개의 별이 작은 마름모꼴을 이루며 귀엽게 뛰어오르는 돌고래 모양을 하고 있습니다.","포세이돈의 구애를 피해 숨었던 바다의 여신 암피트리테를 찾아내어 설득한 돌고래입니다. 포세이돈은 그 공로를 기려 돌고래를 하늘의 별자리로 만들어 주었습니다.",3,/img/constellation/67.png,Del
화살자리,Sagitta,"여름철 대삼각형 안쪽에 위치하며, 이름 그대로 날아가는 화살 모양을 한 작고 뚜렷한 별자리입니다.","헤라클레스가 코카서스 산에 묶여 매일 독수리에게 간을 쪼이던 프로메테우스를 구하기 위해 그 독수리를 쏘아 맞힌 화살입니다. 다른 전승에서는 사랑의 신 에로스의 화살로도 해석됩니다.",3,/img/constellation/68.png,Sge
여우자리,Vulpecula,"백조자리와 화살자리 사이의 은하수 영역에 위치하며, 아령 성운(M27)을 포함하고 있는 희미한 별자리입니다.","17세기 요하네스 헤벨리우스가 처음에는 '거위를 입에 문 작은 여우'로 명명했다가 현재는 여우자리로 줄어들었습니다.",4,/img/constellation/69.png,Vul
뱀자리(머리),Serpens Caput,"뱀주인자리 서쪽에 위치하며, 뱀주인인 오피우쿠스가 손에 쥐고 있는 거대한 뱀의 머리 부분입니다.","의술의 신 아스클레피오스가 뱀에게서 생명을 되살리는 약초의 비밀을 배웠다는 이야기와 연결됩니다. 허물을 벗고 새 생명을 얻는 뱀은 치유와 부활의 상징이며, 지팡이를 감은 뱀은 지금도 의술의 상징으로 사용됩니다.",3,/img/constellation/70.png,SerH
살쾡이자리,Lynx,"큰곰자리와 마차부자리 사이에 위치한 길고 어두운 별자리로 눈에 띄는 별이 거의 없습니다.","헤벨리우스가 이 영역의 듬성듬성하고 어두운 별들을 보려면 살쾡이처럼 예리한 눈을 가져야만 한다며 고안한 별자리입니다.",4,/img/constellation/71.png,Lyn
공기펌프자리,Antlia,"바다뱀자리와 돛자리 사이에 위치한 남반구 하늘의 매우 희미하고 특징이 적은 별자리입니다.","18세기 라카유가 영국의 과학자 로버트 보일이 발명한 진공 공기펌프의 기계적 구조를 기리기 위해 하늘에 추가했습니다.",4,/img/constellation/72.png,Ant
나침반자리,Pyxis,"돛자리 위에 위치한 작은 별자리로, 예전 아르고자리(Argo Navis)의 돛대 위치에 새롭게 추가되었습니다.","라카유가 항해를 위해 고안한 것으로, 아르고자리 곁에서 원양 항해에 필수적인 선박용 자기 나침반을 상징합니다.",4,/img/constellation/73.png,Pyx
마차부자리,Auriga,"겨울철 은하수에 걸쳐 오각형을 이루는 별자리로, 가장 밝은 별 카펠라(어미 염소)가 유명합니다.","다리가 불편했지만 최초로 네 마리 말이 끄는 4륜 마차(전차)를 발명한 아테네의 왕 에리크토니오스로 해석됩니다. 제우스가 그의 지혜와 발명을 기려 하늘에 별자리로 올렸다고 합니다.",1,/img/constellation/74.png,Aur
물고기자리,Pisces,"황도 12궁의 마지막 별자리로 끈으로 묶인 두 마리의 물고기가 V자 형태로 헤엄치는 모습을 띱니다.","미의 여신 아프로디테와 아들 에로스가 무시무시한 괴물 티폰에게 쫓겨 강에 뛰어들 때 물고기로 변신해 달아난 모습입니다. 서로를 놓치지 않기 위해 몸을 끈으로 묶었다고 전해집니다.",3,/img/constellation/75.png,Psc
용자리,Draco,"북반구 하늘에서 큰곰자리와 작은곰자리를 감싸듯 구불구불 길게 이어져 있는 거대한 파충류 모양의 별자리입니다.","헤라 여신의 황금 사과를 지키던 백 개의 머리를 가진 무시무시한 백두룡 라돈으로 해석됩니다. 헤라클레스는 11번째 과업에서 라돈을 물리치고 황금 사과를 가져왔으며, 라돈은 퇴치당한 후 하늘에 올랐습니다.",2,/img/constellation/76.png,Dra
방패자리,Scutum,"독수리자리 남쪽 은하수가 가장 짙은 부위에 위치한 작고 빽빽한 별자리로 방패 성단(M11)이 유명합니다.","17세기 폴란드 천문학자 헤벨리우스가 빈을 투르크 제국으로부터 방어해 낸 폴란드 왕 얀 3세 소비에스키를 기려 '소비에스키의 방패'로 명명했습니다.",3,/img/constellation/77.png,Sct
